Project ID,Project Name,Project Type,Implementing Agency,State,District,Land Area (ha),Affected Families,Notification Date,Expected Completion,Actual Completion,Current Stage,Delayed (Y/N),Delay (days),Compensation Sanctioned,Compensation Disbursed,Open Disputes,R&R Progress %,Stakeholder Updates (90d),Legal Dispute Count
SYN0127,State Highway Widening Udaipur Sec 127,highway,State PWD,Rajasthan,Udaipur,43.9,214,2023-07-11,2025-05-31,2026-03-04,completed,Y,277,17658099,3978370,0,65.7,0,0
SYN0128,4-Lane Highway Vijayapura-128,highway,NHAI,Karnataka,Vijayapura,89.7,316,2024-07-01,2026-03-23,2026-03-05,completed,N,0,80560157,68564750,0,73.6,4,2
SYN0129,Freight Corridor Extension 129,railway,Indian Railways,Madhya Pradesh,Gwalior,65.3,302,2021-05-14,2023-08-02,2024-09-28,completed,Y,423,188833950,68999925,0,57.8,1,0
SYN0130,Metro Rail Phase 130 Anand,railway,DFCCIL,Gujarat,Anand,145.2,540,2021-11-20,2023-09-11,2023-08-12,completed,N,0,102549923,88592878,0,60.9,6,1
SYN0131,Manufacturing Hub 131 Ballari,industrial,RIICO,Karnataka,Ballari,142.7,331,2020-02-19,2021-08-12,2021-07-13,completed,N,0,289179479,227815594,0,86.7,7,1
SYN0132,4-Lane Highway Bharuch-132,highway,NHAI,Gujarat,Bharuch,18.1,336,2019-05-22,2020-09-13,,completed,,,63116739,1262335,2,80.6,7,2
SYN0133,Rail Corridor Karimnagar Segment 133,railway,RVNL,Telangana,Karimnagar,28.0,459,2018-04-22,2021-07-05,2022-01-30,completed,Y,209,240907009,134618837,0,60.6,2,1
SYN0134,Manufacturing Hub 134 Ghaziabad,industrial,RIICO,Uttar Pradesh,Ghaziabad,38.8,262,2021-11-19,2024-03-08,2024-10-04,completed,Y,210,335900743,152734068,5,36.6,1,7
SYN0135,Industrial Corridor Phase 135,industrial,GIDC,Madhya Pradesh,Sagar,165.8,108,2021-12-23,2024-02-11,2024-07-12,completed,Y,152,61557819,39206175,0,11.1,2,0
SYN0136,Bypass Road Project 136 (Solapur),highway,MORTH,Maharashtra,Solapur,82.3,232,2021-04-26,2023-04-16,2023-04-10,completed,N,0,70188377,61049850,0,82.6,3,0
SYN0137,State Highway Widening SPSR Nellore Sec 137,highway,NHAI,Andhra Pradesh,SPSR Nellore,63.8,357,2020-06-07,2022-07-27,2022-11-06,completed,Y,102,61918881,39281338,1,67.3,2,1
SYN0138,NH Extension Package 138,highway,MORTH,Rajasthan,Pali,51.1,102,2023-03-11,2024-06-03,2025-01-12,completed,Y,223,24990758,9371534,0,63.6,2,0
SYN0139,4-Lane Highway Udaipur-139,highway,NHAI,Rajasthan,Udaipur,25.0,226,2024-08-20,2025-09-14,,completed,,,78288513,1738005,7,82.7,5,7
SYN0140,Industrial Corridor Phase 140,industrial,MIDC,Madhya Pradesh,Satna,116.8,136,2022-01-26,2023-08-19,2023-07-26,completed,N,0,311049431,256304731,0,79.7,2,0
SYN0141,Bypass Road Project 141 (Vijayapura),highway,NHAI,Karnataka,Vijayapura,37.2,46,2022-04-14,2023-07-08,,completed,,,55543662,17535134,1,67.3,2,1
SYN0142,Industrial Park Kanpur 142,industrial,KIADB,Uttar Pradesh,Kanpur,57.2,155,2024-12-20,2027-01-09,2026-12-23,completed,N,0,126812307,98533163,0,78.8,7,0
SYN0143,NH Extension Package 143,highway,MORTH,Rajasthan,Bharatpur,105.3,157,2019-07-02,2021-02-21,,completed,,,51704023,13153503,0,100.0,5,0
SYN0144,Rail Electrification Project Alwar-144,railway,DFCCIL,Rajasthan,Alwar,155.0,427,2018-11-26,2022-09-06,,completed,,,151532899,3030658,0,67.1,8,0
SYN0145,Manufacturing Hub 145 Sagar,industrial,APIIC,Madhya Pradesh,Sagar,71.0,330,2019-07-27,2021-01-17,2021-01-02,completed,N,0,319555388,319555388,0,66.3,2,0
